"Species after GB analysis","GB Number","Paper titles","Searched name",
"Anemia phyllitidis","SRX3868021","fern whole genome duplication study","Anemia phyllitidis"
"Fragaria virginiana|Fragaria virginiana subsp. virginiana|Fragaria virginiana subsp. platypetala|Fragaria virginiana subsp. glauca","SRX8861023|SRX7023311|SRX7023310|SRX7023309|SRX7023308|SRX7023307|SRX7023305|SRX7023304|SRX7023303|SRX7023302|SRX7023301|SRX7023300|SRX7023299|SRX7023298|SRX7023297|SRX7023296|SRX7023294|SRX7023293|SRX7023292|SRX7023291|SRX7023290|SRX7023289|SRX7023288|SRX7023287|SRX7023286|SRX7023285|SRX7023283|SRX7023282|SRX7023281|SRX7023280|SRX7023279|SRX7023278|SRX7023277|SRX7023276|SRX7023275|SRX7023274|SRX7023272|SRX7023271|SRX7023270|SRX7023269|SRX7023268|SRX7023267|SRX7023266|SRX7023265|SRX7023264|SRX7023263|SRX7023260|SRX7023259|SRX3817198|SRX3817197|SRX3817196|SRX3817195|SRX3817194|SRX3817193|SRX3817192|SRX3817191|SRX3817190|SRX3817189|SRX3817188|SRX3817187|SRX3817186|SRX3817185|SRX3817184|SRX3817183|SRX3817182|SRX3817181|SRX3817180|SRX3817179|SRX3817178|SRX3817177|SRX3817176|SRX3817175|SRX3817174|SRX3817173|SRX3817172|SRX3817171|SRX3817170|SRX3817169|SRX3817168|SRX3817167|SRX3817166|SRX3817165|SRX3817164|SRX3817163|SRX3817162|SRX3817161|SRX3817160|SRX3817159|SRX3817158|SRX3817157|SRX3817156|SRX3817155|SRX3817154|SRX3817153|SRX3817152|SRX3817151|SRX3817150|SRX3817149|SRX3817148|SRX3817147|SRX3817146|SRX3817145|SRX3817144|SRX3817143|SRX3817142|SRX3817141|SRX3817140|SRX3817139|SRX3817138|SRX3817137|SRX3817136|SRX3817135|SRX3817134|SRX3817133|SRX3817132|SRX3817131|SRX3817130|SRX3603574|SRX3603573|SRX3603559|SRX3603554|SRX3603493|SRX3603492|SRX3261747|SRX3261746|SRX3261743|SRX3261740|SRX3261739|SRX3261734|SRX3261732|SRX3261731|SRX3261730|SRX3261729|SRX3261728|SRX3261727|SRX3261726|SRX3261725|SRX3261724|SRX3261722|SRX3261721|SRX3261720|SRX3261719|SRX3261718|SRX3261717|SRX3261711|SRX3261710|SRX3261708|SRX3261706|SRX3261705|SRX3261703|SRX3261702|SRX3261697|SRX3261696|SRX3261695|SRX3261693|SRX3261692|SRX3261691|SRX3261690|SRX3261689|SRX3261688|SRX2855173|SRX2611258|SRX2611257|SRX2611256|SRX2611255|SRX2611254|SRX2611253|SRX2611252|SRX2611251|SRX2611250|SRX2611249|SRX2611248|SRX2611247|SRX2611246|SRX2611245|SRX2611244|SRX2611243|SRX2611242|SRX2611241|SRX2611240|SRX2611239|SRX2611238|SRX2611237|SRX2611236|SRX2611235|SRX2611234|SRX2611233|SRX2611232|SRX2611231|SRX2611230|SRX2611229|SRX2611228|SRX2611227|SRX2611226|SRX2611225|SRX2611224|SRX2611223|SRX2611222|SRX2611221|SRX2611220|SRX2611219|SRX2611218|SRX2611217|SRX2611216|SRX2611215|SRX2611214|SRX2611213|SRX2611212|SRX2611211|SRX2579131|SRX2579130|SRX2579129|SRX2579128|SRX733179|SRX733082|SRX733081|SRX733080|SRX733079|SRX733078|SRX733077|SRX733076|SRX733075|SRX733074|SRX733073|SRX733072|SRX733071|SRX733070|SRX733069|SRX733068|SRX733067|SRX733066|SRX733065|SRX733064|SRX733063|SRX733062|SRX733061|SRX733060|SRX733059|SRX733058|SRX733057|SRX733056|SRX733055|SRX733054|SRX733053|SRX733052|SRX733051|SRX733050|SRX733049|SRX733048|SRX733047|SRX733046|SRX733045|SRX733044|SRX733043|SRX733042|SRX733041|SRX733040|SRX733039|SRX733038|SRX733037|SRX733036|SRX733035|SRX733034|SRX733033|SRX733032|SRX733031|SRX733030|SRX733029|SRX733028|SRX733027|SRX733026|SRX733025|SRX733024|SRX733023|SRX733022|SRX733021|SRX733020|SRX733019|SRX733018|SRX733017|SRX733016|SRX733015|SRX733014|SRX733013|SRX733012|SRX733011|SRX733010|SRX733009|SRX733008|SRX651527","DNA barcoding tallgrass prairie plants|octoploid strawberry re-sequencing|Repeated translocation of a gene cassette drives sex chromosome turnover in strawberries|Plastid genomes reveal recurrent formation of allopolyploid Fragaria|FDA GenomeTrakrCP: cpDNA for botanical product identification|Fragaria virginiana ssp. platypetala sex-determining region mapping|Allopolyploid origins in Fragaria|Multiple Fragaria species sequenced to evaluate octoploid progenitors Phenotype or Genotype|RosBREED re-sequencing of Fragaria species","Fragaria virginiana"
"Geum aleppicum","SRX8861116","DNA barcoding tallgrass prairie plants","Geum aleppicum"
"Geum canadense","SRX8861022","DNA barcoding tallgrass prairie plants","Geum canadense"
"Alchemilla aphanoides","SRX5110757|SRX5110752|SRX5110750|SRX5110739|SRX5110738|SRX5110737|SRX5110736|SRX5110725|SRX5110724|SRX5110722|SRX5110721|SRX5110720|SRX5110719|SRX5110717|SRX5110716|SRX5110547|SRX5110516|SRX5110514|SRX5110505|SRX5110494|SRX5110482|SRX3644253","Microfluidic PCR target enrichment of the genus Lachemilla (Rosaceae)|Hyb-Seq data of 27 species of the plant genus Lachemilla (Rosaceae) and three species from closely related genera Targeted loci","Lachemilla aphanoides"
"Alchemilla orbiculata","SRX5110768|SRX5110767|SRX5110766|SRX5110765|SRX5110764|SRX5110763|SRX5110762|SRX5110761|SRX5110756|SRX5110755|SRX5110595|SRX5110594|SRX5110509|SRX5110507|SRX5110506|SRX3644240","Microfluidic PCR target enrichment of the genus Lachemilla (Rosaceae)|Hyb-Seq data of 27 species of the plant genus Lachemilla (Rosaceae) and three species from closely related genera Targeted loci","Lachemilla orbiculata"
"Alchemilla pinnata","SRX5110691|SRX5110690|SRX5110689|SRX5110688|SRX5110687|SRX5110686|SRX5110685|SRX5110662|SRX5110661|SRX5110660|SRX5110659|SRX5110658|SRX5110657|SRX5110656|SRX5110648|SRX5110647|SRX3644236","Microfluidic PCR target enrichment of the genus Lachemilla (Rosaceae)|Hyb-Seq data of 27 species of the plant genus Lachemilla (Rosaceae) and three species from closely related genera Targeted loci","Lachemilla pinnata"
"Alchemilla procumbens|Alchemilla procumbens var. andina","SRX5110715|SRX5110527|SRX5110502|SRX5110501|SRX5110500|SRX5110499|SRX5110498|SRX5110497|SRX5110496|SRX5110495|SRX5110493|SRX3644259|SRX3644254","Microfluidic PCR target enrichment of the genus Lachemilla (Rosaceae)|Hyb-Seq data of 27 species of the plant genus Lachemilla (Rosaceae) and three species from closely related genera Targeted loci","Lachemilla procumbens"
"Lachemilla sibbaldiifolia","SRX9006971|SRX5110675|SRX5110674","Target enrichment sequencing of 56 species of Fragariinae (mainly Alchemilla s.l.) and 3 of other Rosoideae.|Microfluidic PCR target enrichment of the genus Lachemilla (Rosaceae)","Lachemilla sibbaldiifolia"
"Lachemilla velutina","SRX9006974|SRX5110614|SRX5110611","Target enrichment sequencing of 56 species of Fragariinae (mainly Alchemilla s.l.) and 3 of other Rosoideae.|Microfluidic PCR target enrichment of the genus Lachemilla (Rosaceae)","Lachemilla velutina"
"Lachemilla venusta","SRX5110612","Microfluidic PCR target enrichment of the genus Lachemilla (Rosaceae)","Lachemilla venusta"
"Alchemilla vulcanica","SRX5110694|SRX5110616|SRX5110574|SRX5110573|SRX5110570|SRX5110569|SRX5110568|SRX5110567|SRX5110566|SRX5110564|SRX5110521|SRX5110520|SRX5110519|SRX5110489|SRX3644234","Microfluidic PCR target enrichment of the genus Lachemilla (Rosaceae)|Hyb-Seq data of 27 species of the plant genus Lachemilla (Rosaceae) and three species from closely related genera Targeted loci","Lachemilla vulcanica"
"Physocarpus opulifolius","ERX2099484|SRX1583744|SRX1567867","1000 Plant (1KP) Transcriptomes: The Remaining Data|Maleae genomics: gene fate following whole genome duplication","Physocarpus opulifolius"
"Potentilla anserina","SRX8829185|SRX8582039|SRX8582038|SRX8582037|SRX8582036|SRX8582035|SRX8582034|SRX8582033|SRX8582032|SRX8582031|SRX8582030|SRX8582029|SRX8582028|SRX8582027|SRX8582026|SRX8582025","Raw sequence reads from Danish species|Potentilla anserina Genome sequencing and assembly","Potentilla anserina"
"Drymocallis glandulosa","SRX9006963|SRX3308740|SRX2579203|SRX2579202|SRX1612420","Target enrichment sequencing of 56 species of Fragariinae (mainly Alchemilla s.l.) and 3 of other Rosoideae.|Phylogenetic analysis of Fragaria species|Allopolyploid origins in Fragaria","Potentilla glandulosa"
"Prunus fasciculata","SRX9489994","Complete chloroplast genome of Prunus fasciculata","Prunus fasciculata"
"Prunus serotina","SRX9009104|SRX8297685|SRX8297684|SRX8297683|SRX8297682|SRX8297681|SRX8297658|SRX8297657|SRX8297656|SRX8297655|SRX8297654|SRX8297652|SRX8297651|SRX8297650|SRX8297649|SRX8297648|SRX8297647|SRX8297646|SRX8297645|SRX8297628|SRX8297627|SRX8297626|SRX8297625|SRX8297624|SRX8297623|SRX8297622|SRX8297621|SRX8297619|SRX8297618|SRX8297617|SRX8297588|SRX8297587|SRX8297586|SRX8297585|SRX8297584|SRX8297583|SRX8297582|SRX8297581|SRX8297580|SRX8297579|SRX8290801|SRX8290800|SRX8290766|SRX8290755|SRX8290754|SRX8290752|SRX8290751|SRX8290750|SRX8290749|SRX8290740|SRX8290739|SRX8290738|SRX8290737|SRX8290736|SRX8290735|SRX8290734|SRX8290733|SRX8290732|SRX8290730|SRX8271731|SRX8271727|SRX8271721|SRX8271714|SRX8271705|SRX8271699|SRX8271685|SRX8271679|SRX8271674|SRX8271673|SRX8271672|SRX8271669|SRX8271668|SRX8271667|SRX8271654|SRX8271650|SRX8271649|SRX8271647|SRX8271645|SRX8271643|SRX8271639|SRX8239120|SRX8239119|SRX8239118|SRX8239117|SRX8239116|SRX8239115|SRX8239114|SRX8239113|SRX8239112|SRX8239111|SRX8239110|SRX8239108|SRX8239107|SRX8239106|SRX8239105|SRX8239104|SRX8239070|SRX8239069|SRX8239068|SRX8239067|SRX8239066|SRX3526574|SRX3526551|SRX3255517|SRX3255515|SRX3255514|SRX3255513|SRX3255511|SRX3255510|SRX272952","Raw sequence reads from Danish species|SERC and Harvard Forest NEON Sites Growing Season Gene Expression|Genomic Plasticity in Response to Variable Environments|Community Transcriptomics of Wabikon Lake Forest Dynamics Plot, Wisconsin, U.S.A.|Multiplexed genome survey sequencing of 10 hardwood tree species","Prunus serotina"
"Rosa californica","SRX7725998|SRX7725817","PHY-ROSE : Phylogenomics of the genus Rosa - polyploidy and hybridization as diversification forces","Rosa californica"
"Rosa carolina","SRX7725983|SRX7725861","PHY-ROSE : Phylogenomics of the genus Rosa - polyploidy and hybridization as diversification forces","Rosa carolina"
"Rosa minutifolia","SRX8954059|SRX7725936|SRX7725883|SRX7725852|SRX7725799|SRX4006787","The complete chloroplast genome sequence of Rosa minutifolia|PHY-ROSE : Phylogenomics of the genus Rosa - polyploidy and hybridization as diversification forces|Evolution of genomes in the genus Rosa","Rosa minutifolia"
"Rosa moschata","SRX10237957|SRX7725829|SRX7725776|SRX4006793|SRX3286292","Long read sequencing of Rosa species genomic DNA|PHY-ROSE : Phylogenomics of the genus Rosa - polyploidy and hybridization as diversification forces|Evolution of genomes in the genus Rosa|Rosa sp. resequencing","Rosa moschata"
"Rosa woodsii","SRX9006942|SRX7725979|SRX7725744","Target enrichment sequencing of 56 species of Fragariinae (mainly Alchemilla s.l.) and 3 of other Rosoideae.|PHY-ROSE : Phylogenomics of the genus Rosa - polyploidy and hybridization as diversification forces","Rosa woodsii"
"Rubus coriifolius","SRX5228276","Rubus Raw sequence reads","Rubus coriifolius"
"Rubus eriocarpus","SRX5228271","Rubus Raw sequence reads","Rubus eriocarpus"
"Rubus flagellaris","SRX5228270","Rubus Raw sequence reads","Rubus flagellaris"
"Rubus glaucus","SRX5541887|SRX5541886|SRX5541885|SRX5228291","Transcriptome of Rubus glaucus|Rubus Raw sequence reads","Rubus glaucus"
"Rubus idaeus|Rubus idaeus subsp. strigosus","SRX8635688|SRX8635687|SRX8635686|SRX8635685|SRX8635684|SRX8635683|SRX8635682|SRX7730622|SRX7730621|SRX7730620|SRX7730619|SRX7730618|SRX7730617|SRX7730616|SRX7730615|SRX7730614|SRX7730505|SRX7730504|SRX7730503|SRX7730502|SRX7730501|SRX7730500|SRX7730499|SRX7730498|SRX7730497|SRX6727563|SRX6727562|SRX6727561|SRX6727560|SRX6727559|SRX6727558|SRX6364575|SRX6364574|SRX6364573|SRX6364572|SRX6364571|SRX6364570|SRX6074448|SRX6074447|SRX5486278|SRX5228344|SRX5228297|ERX2796364|ERX2796363|SRX4380525|SRX4380524|SRX4380523|SRX4380522|SRX4380521|SRX4380520|SRX4380519|SRX4380518|SRX4380517|SRX4380516|SRX4380515|SRX4380514|SRX4380513|SRX4380512|SRX4380511|SRX4380510|SRX4380509|SRX4380508|ERX2547556|ERX2547555|ERX2237756|ERX2237755|ERX2237754|ERX2237252|ERX2237251|ERX2237250|ERX2237249|ERX2237248|ERX2237247|ERX2237246|ERX2237245|ERX2237244|ERX2237243|ERX2237242|ERX2237241|ERX2237240|ERX2237239|ERX2237238|ERX2237237|ERX2237236|ERX2237235|ERX2237234|ERX2237233|ERX2237232|ERX2237231|ERX2237230|ERX2237229|ERX2237228|ERX2237227|ERX2237226|ERX2237225|ERX2237224|ERX2237223|ERX2237222|ERX2237221|ERX2237220|ERX2237219|ERX2237218|ERX2237217|ERX2237216|ERX2237215|ERX2237214|ERX2237213|ERX2237212|ERX2237211|ERX2237210|ERX2237209|ERX2237208|ERX2237207|ERX2237206|ERX2237205|ERX2237204|ERX2237203|ERX2237202|ERX2237201|ERX2237200|ERX2237199|ERX2237198|ERX2237197|ERX2237196|ERX2237195|ERX2237194|ERX2237193|ERX2237192|ERX2237191|ERX2237190|ERX2237189|ERX2237188|ERX2237187|ERX2237186|ERX2237185|ERX2237184|ERX2237183|ERX2237182|ERX2237181|ERX2237180|ERX2237179|ERX2237178|ERX2237177|ERX2237176|ERX2237175|ERX2237174|ERX2237173|ERX2237172|ERX2237171|ERX2237170|ERX2237169|ERX2237168|ERX2237167|ERX2237166|ERX2237165|ERX2237164|ERX2237163|ERX2237162|ERX2237161|ERX2237160|ERX2237159|ERX2237158|ERX2237157|ERX2237156|ERX2237155|ERX2237154|ERX2237153|ERX2237152|ERX2237151|ERX2237150|ERX2237149|ERX2237148|ERX2237147|ERX2237146|ERX2237145|ERX2237144|ERX2237143|ERX2237142|ERX2237141|ERX2237140|ERX2237139|ERX2237138|ERX2237137|ERX2237136|ERX2237135|ERX2237134|ERX2237133|ERX2237132|ERX2237131|ERX2237130|ERX2237129|ERX2237128|ERX2237127|ERX2237126|ERX2237125|ERX2237124|ERX2237123|ERX2237122|ERX2237121|ERX2237120|ERX2237119|ERX2237118|ERX2237117|ERX2237116|ERX2237115|ERX2237114|ERX2237113|ERX2237112|ERX2237111|ERX2237110|ERX2237109|ERX2237108|ERX2237107|ERX2237106|ERX2237105|ERX2237104|ERX2237103|ERX2237102|ERX2237101|ERX2237100|ERX2237099|ERX2237098|ERX2237097|ERX2237096|ERX2237095|ERX2237094|ERX2237093|ERX2237092|ERX2237091|ERX2237090|ERX2237089|ERX2237088|ERX2237087|ERX2237086|ERX2237085|ERX2237084|ERX2237083|ERX2237082|ERX2237081|ERX2237080|ERX2237079|ERX2237078|ERX2237077|ERX2237076|ERX2237075|ERX2237074|ERX2237073|ERX2237072|ERX2237071|ERX2237070|ERX2237069|ERX2237068|ERX2237067|SRX2766503|SRX2766501|SRX2766500|SRX2766499|SRX2766498|SRX2766496|SRX2766495|SRX2766494|SRX2766493|SRX2766492|SRX2766446|SRX2766445|SRX2766438|SRX2766437|SRX2766424|SRX2766423|SRX2766407|SRX2766380|SRX2363800|SRX2363799","Sequencing of different red raspberry cultivars to identify endogenous viruses|Small RNA sequencing for miRNA identification in three raspberry organs: root, stem and leaf.|Assembled Transcriptome of  Raspberry (Rubus idaeus) Tissues|Rubus idaeus cultivar:Wakefield and Heritage Transcriptome or Gene expression|red raspberry(Rubus idaeus L.) transcriptome|Draft genome of red raspberry|Genetic reference data for use in botanical product identity testing|Rubus Raw sequence reads|RNA-seq analysis of red raspberry plants (Rubus idaeus) (variety Glen Dee) with virus like symptoms|Rubus idaeus cultivar:Joan J Raw sequence reads|Deep sequencing of small RNA fraction isolated from strawberry, raspberry and Ribes sp., and from tobacco plants infected with different infectious clones of Potato virus A and Potato virus Y.|Draft genome of red raspberry (cv.Glen Moy)|Genotyping-by-sequencing in red raspberry (Rubus idaeus)|Rubus idaeus cultivar:sijihong Raw sequence reads|Transcriptome response of raspberry (Rubus idaeus) against Tomato ringspot virus (ToRSV)","Rubus idaeus"
"Rubus leucodermis","SRX5228283","Rubus Raw sequence reads","Rubus leucodermis"
"Rubus parviflorus","SRX5228308","Rubus Raw sequence reads","Rubus parviflorus"
"Rubus idaeus subsp. strigosus","SRX5228344","Rubus Raw sequence reads","Rubus strigosus"
"Rubus trilobus","SRX5228333","Rubus Raw sequence reads","Rubus trilobus"
"Rubus trivialis","SRX5228332","Rubus Raw sequence reads","Rubus trivialis"
"Rubus ursinus","SRX5228339|SRX5228338|SRX5228337|SRX5228336","Rubus Raw sequence reads","Rubus ursinus"
"Rubus urticifolius","SRX5228259","Rubus Raw sequence reads","Rubus urticifolius"
"Sibbaldia procumbens","SRX9006944|SRX5110526|SRX5110525|SRX5110517","Target enrichment sequencing of 56 species of Fragariinae (mainly Alchemilla s.l.) and 3 of other Rosoideae.|Microfluidic PCR target enrichment of the genus Lachemilla (Rosaceae)","Sibbaldia procumbens"
"Vauquelinia californica","SRX1550524|SRX1529442","Maleae genomics: gene fate following whole genome duplication","Vauquelinia californica"
"Chiococca alba","ERX4839975|SRX5862352|SRX5862349|SRX5862357|SRX5862362|SRX5862361|SRX5862360|SRX5862359|SRX5862358|SRX5862356|SRX5862355|SRX5862354|SRX5862353|SRX5862351|SRX5862350","Data for release 1.0 of the Kew Tree of Life Explorer|Chiococca alba genome assembly","Chiococca alba"
"Faramea occidentalis","SRX7275204|SRX7275203","DNA Barcoding of fogged caterpillars in Peru","Faramea occidentalis"
"Galium aparine","SRX8861015|SRX8025198|SRX8025197|SRX8025196|SRX8025195|SRX8025194|SRX8025193","DNA barcoding tallgrass prairie plants|Galium aparine RNA sequencing","Galium aparine"
"Galium porrigens var. tenue","SRX6708862","Several species of Galium Raw sequence reads","Galium porrigens"
"Galium trifidum","SRX8861013","DNA barcoding tallgrass prairie plants","Galium trifidum"
"Galium triflorum","SRX8861014|SRX3526580|SRX3526555","DNA barcoding tallgrass prairie plants|Genomic Plasticity in Response to Variable Environments","Galium triflorum"
"Hamelia patens","ERX4839984|SRX8873813|SRX8867336|SRX4043590|SRX1979997|SRX1979996|SRX1979995|SRX1979994|SRX1979993","Data for release 1.0 of the Kew Tree of Life Explorer|Hamelia patens- transcriptome or Gene expression|High-depth whole genome sequencing of 760 vascular plants with specimens and images available Raw sequence reads|Hamelia patens Assembly","Hamelia patens"
"Posoqueria latifolia","ERX4839995","Data for release 1.0 of the Kew Tree of Life Explorer","Posoqueria latifolia"
"Psychotria costivenia","SRX4261237|SRX4261236","Transcriptomic comparison between nickel hyperaccumulator and non-accumulator plant species from the Psychotria genus (Rubiacaeae) from Cuba","Psychotria costivenia"
"Psychotria grandis","SRX4261235|SRX4261234","Transcriptomic comparison between nickel hyperaccumulator and non-accumulator plant species from the Psychotria genus (Rubiacaeae) from Cuba","Psychotria grandis"
"Psychotria marginata","ERX2099606","1000 Plant (1KP) Transcriptomes: The Remaining Data","Psychotria marginata"
"Strumpfia maritima","ERX4840170","Data for release 1.0 of the Kew Tree of Life Explorer","Strumpfia maritima"
"Ruppia maritima","ERX4839631","Data for release 1.0 of the Kew Tree of Life Explorer","Ruppia maritima"
"Casearia nitida","SRX4284029","Whole genome duplications in Malpighiales","Casearia nitida"
"Olmediella betschleriana","SRX8785823","Whole genome sequencing of species in the Salicaceae","Olmediella betschleriana"
"Populus angustifolia","SRX10073581|SRX9751790|SRX9751779","Populus angustifolia Raw sequence reads|Phylogenomics of  Populus","Populus angustifolia"
